"","name","trend","Species","ESU","pop"
"93","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Suiattle River",0.0146544010718426,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Suiattle River"
"94","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Upper Sauk River",0.0755869453971551,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Upper Sauk River"
"95","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Upper Skagit River",0.0036421818241352,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Upper Skagit River"
"96","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - White River",0.098071561866044,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - White River"
"97","Chinook_Sacramento River Winter-run Chinook Salmon_sacramentoriv.chin.win",0.00924392606013611,"Chinook","Sacramento River Winter-run Chinook Salmon","sacramentoriv.chin.win"
"98","Chinook_Snake River Fall-run Chinook Salmon ESU_Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem",0.153171012194133,"Chinook","Snake River Fall-run Chinook Salmon ESU","Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem"
"99","Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek",0.0153799898296586,"Chinook","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek"
"100","Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Big Creek",0.0443395029779446,"Chinook","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook Salmon (Snake River Spring/Summer-run ESU) - Big Creek"
"101","Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Camas Creek",0.022655526054562,"Chinook","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook Salmon (Snake River Spring/Summer-run ESU) - Camas Creek"
"102","Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek",0.0644833031994562,"Chinook","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek"
"103","Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Chamberlain Creek",0.0478743503419663,"Chinook","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook Salmon (Snake River Spring/Summer-run ESU) - Chamberlain Creek"
