,name,trend,Species,ESU,pop,run
101,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Camas Creek,0.022655526,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Camas Creek,early
102,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,0.064483303,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,early
103,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Chamberlain Creek,0.04787435,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Chamberlain Creek,early
104,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River,0.03774758,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River,early
105,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork South Fork Salmon River,0.10677385,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork South Fork Salmon River,early
106,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,0.092252553,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,early
107,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,0.000331029,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,early
108,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River,0.060627799,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River,early
109,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Loon Creek,0.006302145,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Loon Creek,early
110,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Lostine River,0.068654567,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Lostine River,early
111,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Marsh Creek,0.056557705,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Marsh Creek,early
112,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Middle Fork Salmon River above Indian Creek,0.040626897,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Middle Fork Salmon River above Indian Creek,early
113,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Middle Fork Salmon River below Indian Creek,-0.035395903,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Middle Fork Salmon River below Indian Creek,early
114,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Minam River,0.036337891,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Minam River,early
115,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - North Fork Salmon River,0.059578004,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - North Fork Salmon River,early
116,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Pahsimeroi River,0.04852592,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Pahsimeroi River,early
117,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Salmon River Lower Mainstem below Redfish Lake,-0.02071146,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Salmon River Lower Mainstem below Redfish Lake,early
118,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Salmon River Upper Mainstem above Redfish Lake,0.057874326,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Salmon River Upper Mainstem above Redfish Lake,early
119,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Secesh River,0.043650861,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Secesh River,early
120,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - South Fork Salmon River Mainstem,-0.027252722,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - South Fork Salmon River Mainstem,early
121,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Sulphur Creek,0.024493072,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Sulphur Creek,early
122,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Tucannon River,0.005926217,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Tucannon River,early
123,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Valley Creek,0.066333327,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Valley Creek,early
124,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Wenaha River,0.018041806,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Wenaha River,early
125,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Yankee Fork,0.084620363,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Yankee Fork,early
126,Chinook_Southern Oregon Northern California Chinook salmon_Blue Creek (Klamath) fall Chinook,-0.01541541,Chinook,Southern Oregon Northern California Chinook salmon,Blue Creek (Klamath) fall Chinook,late
